code_module,code_presentation,t_percent,module_presentation_length,cutoff_day
AAA,2013J,10,268,27
AAA,2013J,20,268,54
AAA,2013J,40,268,107
AAA,2013J,60,268,161
AAA,2013J,80,268,214
AAA,2013J,100,268,268
AAA,2014J,10,269,27
AAA,2014J,20,269,54
AAA,2014J,40,269,108
AAA,2014J,60,269,161
AAA,2014J,80,269,215
AAA,2014J,100,269,269
BBB,2013J,10,268,27
BBB,2013J,20,268,54
BBB,2013J,40,268,107
BBB,2013J,60,268,161
BBB,2013J,80,268,214
BBB,2013J,100,268,268
BBB,2014J,10,262,26
BBB,2014J,20,262,52
BBB,2014J,40,262,105
BBB,2014J,60,262,157
BBB,2014J,80,262,210
BBB,2014J,100,262,262
BBB,2013B,10,240,24
BBB,2013B,20,240,48
BBB,2013B,40,240,96
BBB,2013B,60,240,144
BBB,2013B,80,240,192
BBB,2013B,100,240,240
BBB,2014B,10,234,23
BBB,2014B,20,234,47
BBB,2014B,40,234,94
BBB,2014B,60,234,140
BBB,2014B,80,234,187
BBB,2014B,100,234,234
CCC,2014J,10,269,27
CCC,2014J,20,269,54
CCC,2014J,40,269,108
CCC,2014J,60,269,161
CCC,2014J,80,269,215
CCC,2014J,100,269,269
CCC,2014B,10,241,24
CCC,2014B,20,241,48
CCC,2014B,40,241,96
CCC,2014B,60,241,145
CCC,2014B,80,241,193
CCC,2014B,100,241,241
DDD,2013J,10,261,26
DDD,2013J,20,261,52
DDD,2013J,40,261,104
DDD,2013J,60,261,157
DDD,2013J,80,261,209
DDD,2013J,100,261,261
DDD,2014J,10,262,26
DDD,2014J,20,262,52
DDD,2014J,40,262,105
DDD,2014J,60,262,157
DDD,2014J,80,262,210
DDD,2014J,100,262,262
DDD,2013B,10,240,24
DDD,2013B,20,240,48
DDD,2013B,40,240,96
DDD,2013B,60,240,144
DDD,2013B,80,240,192
DDD,2013B,100,240,240
DDD,2014B,10,241,24
DDD,2014B,20,241,48
DDD,2014B,40,241,96
DDD,2014B,60,241,145
DDD,2014B,80,241,193
DDD,2014B,100,241,241
EEE,2013J,10,268,27
EEE,2013J,20,268,54
EEE,2013J,40,268,107
EEE,2013J,60,268,161
EEE,2013J,80,268,214
EEE,2013J,100,268,268
EEE,2014J,10,269,27
EEE,2014J,20,269,54
EEE,2014J,40,269,108
EEE,2014J,60,269,161
EEE,2014J,80,269,215
EEE,2014J,100,269,269
EEE,2014B,10,241,24
EEE,2014B,20,241,48
EEE,2014B,40,241,96
EEE,2014B,60,241,145
EEE,2014B,80,241,193
EEE,2014B,100,241,241
FFF,2013J,10,268,27
FFF,2013J,20,268,54
FFF,2013J,40,268,107
FFF,2013J,60,268,161
FFF,2013J,80,268,214
FFF,2013J,100,268,268
FFF,2014J,10,269,27
FFF,2014J,20,269,54
FFF,2014J,40,269,108
FFF,2014J,60,269,161
FFF,2014J,80,269,215
FFF,2014J,100,269,269
FFF,2013B,10,240,24
FFF,2013B,20,240,48
FFF,2013B,40,240,96
FFF,2013B,60,240,144
FFF,2013B,80,240,192
FFF,2013B,100,240,240
FFF,2014B,10,241,24
FFF,2014B,20,241,48
FFF,2014B,40,241,96
FFF,2014B,60,241,145
FFF,2014B,80,241,193
FFF,2014B,100,241,241
GGG,2013J,10,261,26
GGG,2013J,20,261,52
GGG,2013J,40,261,104
GGG,2013J,60,261,157
GGG,2013J,80,261,209
GGG,2013J,100,261,261
GGG,2014J,10,269,27
GGG,2014J,20,269,54
GGG,2014J,40,269,108
GGG,2014J,60,269,161
GGG,2014J,80,269,215
GGG,2014J,100,269,269
GGG,2014B,10,241,24
GGG,2014B,20,241,48
GGG,2014B,40,241,96
GGG,2014B,60,241,145
GGG,2014B,80,241,193
GGG,2014B,100,241,241
