model,t_percent,cohort,metric,point,ci_lo,ci_hi,n_boot
xgb,10,full,recall,0.7192,0.705,0.734,1000
xgb,10,full,pr_auc,0.8644,0.8552,0.8735,1000
xgb,10,active,recall,0.6311,0.6132,0.6492,1000
xgb,10,gap,recall,0.0881,0.0801,0.0956,1000
xgb,20,full,recall,0.7604,0.7463,0.7744,1000
xgb,20,full,pr_auc,0.8999,0.893,0.9072,1000
xgb,20,active,recall,0.6492,0.6311,0.6682,1000
xgb,20,gap,recall,0.1112,0.1023,0.1201,1000
xgb,40,full,recall,0.8107,0.7977,0.8237,1000
xgb,40,full,pr_auc,0.9428,0.9381,0.948,1000
xgb,40,active,recall,0.6782,0.6563,0.6984,1000
xgb,40,gap,recall,0.1325,0.1222,0.1437,1000
xgb,60,full,recall,0.8703,0.8594,0.8821,1000
xgb,60,full,pr_auc,0.9684,0.9649,0.972,1000
xgb,60,active,recall,0.749,0.7301,0.7698,1000
xgb,60,gap,recall,0.1213,0.11,0.1325,1000
xgb,80,full,recall,0.8969,0.8872,0.9075,1000
xgb,80,full,pr_auc,0.9808,0.9784,0.9833,1000
xgb,80,active,recall,0.7792,0.7596,0.8001,1000
xgb,80,gap,recall,0.1178,0.1061,0.1297,1000
xgb,100,full,recall,0.9298,0.9213,0.9389,1000
xgb,100,full,pr_auc,0.9902,0.9885,0.9918,1000
xgb,100,active,recall,0.8412,0.8206,0.8614,1000
xgb,100,gap,recall,0.0886,0.0762,0.1007,1000
