a,b,r
n_days_active,total_clicks,0.837
days_since_last_activity,n_assessments_submitted,-0.828
at_risk,days_since_last_activity,0.778
days_since_last_activity,mean_score_to_date,-0.769
days_since_last_activity,weighted_score_to_date,-0.726
at_risk,n_assessments_submitted,-0.716
at_risk,weighted_score_to_date,-0.706
days_since_last_activity,n_days_active,-0.694
n_days_active,weighted_score_to_date,0.686
mean_score_to_date,n_assessments_submitted,0.685
max_clicks_single_day,mean_clicks_per_active_day,0.657
n_assessments_submitted,n_days_active,0.651
n_assessments_submitted,weighted_score_to_date,0.638
mean_clicks_per_active_day,total_clicks,0.633
at_risk,n_days_active,-0.626
at_risk,mean_score_to_date,-0.61
mean_score_to_date,weighted_score_to_date,0.601
