model,t_percent,repeat,fold,roc_auc,pr_auc,f1,recall,precision,balanced_acc,brier
logreg,100,0,0,0.9834,0.9878,0.9423,0.9115,0.9753,0.9427,0.0445
logreg,100,0,1,0.9844,0.9885,0.9428,0.9169,0.9702,0.9425,0.0434
logreg,100,0,2,0.9851,0.9891,0.9467,0.9208,0.974,0.9466,0.0411
logreg,100,0,3,0.9859,0.9896,0.9454,0.9176,0.975,0.9455,0.0412
logreg,100,0,4,0.9858,0.9887,0.9486,0.9234,0.9752,0.9484,0.0404
logreg,100,1,0,0.981,0.9862,0.9378,0.9042,0.9739,0.9385,0.0479
logreg,100,1,1,0.9842,0.9878,0.9442,0.9154,0.975,0.9445,0.0426
logreg,100,1,2,0.9857,0.9895,0.9478,0.9219,0.9752,0.9477,0.0406
logreg,100,1,3,0.9864,0.9899,0.9483,0.9256,0.9723,0.9479,0.0397
logreg,100,1,4,0.9872,0.9904,0.9496,0.923,0.9778,0.9497,0.0396
logreg,100,2,0,0.9841,0.9882,0.9427,0.9132,0.9742,0.943,0.0441
logreg,100,2,1,0.9849,0.989,0.9458,0.9205,0.9725,0.9456,0.0417
logreg,100,2,2,0.9849,0.9888,0.9458,0.9201,0.9729,0.9456,0.0422
logreg,100,2,3,0.9852,0.9891,0.9469,0.9219,0.9733,0.9467,0.0414
logreg,100,2,4,0.9853,0.9884,0.944,0.9143,0.9757,0.9443,0.0418
logreg,100,3,0,0.9862,0.9897,0.9502,0.9241,0.9778,0.9502,0.0396
logreg,100,3,1,0.9835,0.9878,0.9391,0.9115,0.9685,0.939,0.0452
logreg,100,3,2,0.9849,0.989,0.948,0.923,0.9744,0.9479,0.0411
logreg,100,3,3,0.9863,0.9896,0.9474,0.9215,0.9748,0.9473,0.0414
logreg,100,3,4,0.9837,0.9875,0.9421,0.9121,0.9741,0.9424,0.0432
logreg,100,4,0,0.987,0.9904,0.951,0.9259,0.9775,0.9509,0.0385
logreg,100,4,1,0.9856,0.9886,0.9455,0.9187,0.9739,0.9455,0.0419
logreg,100,4,2,0.9839,0.9883,0.9437,0.9187,0.9702,0.9434,0.0429
logreg,100,4,3,0.9825,0.9873,0.9424,0.9143,0.9723,0.9425,0.0454
logreg,100,4,4,0.9851,0.989,0.9424,0.9107,0.9764,0.9429,0.0427
rf,100,0,0,0.9841,0.9883,0.9455,0.9118,0.9817,0.9463,0.043
rf,100,0,1,0.9843,0.9886,0.9504,0.9212,0.9815,0.9508,0.0412
rf,100,0,2,0.9847,0.9891,0.9486,0.9215,0.9774,0.9488,0.0401
rf,100,0,3,0.9853,0.9892,0.949,0.9212,0.9785,0.9492,0.0407
rf,100,0,4,0.9864,0.9893,0.9496,0.9205,0.9807,0.95,0.0406
rf,100,1,0,0.9813,0.9864,0.9406,0.9082,0.9755,0.9413,0.0462
rf,100,1,1,0.9851,0.9887,0.949,0.9183,0.9818,0.9496,0.041
rf,100,1,2,0.9849,0.9893,0.9526,0.9227,0.9846,0.9532,0.0397
rf,100,1,3,0.987,0.9906,0.9549,0.9328,0.978,0.9546,0.0374
rf,100,1,4,0.9865,0.9898,0.9498,0.9234,0.9778,0.9499,0.0402
rf,100,2,0,0.9844,0.9881,0.9474,0.9158,0.9814,0.9481,0.0427
rf,100,2,1,0.985,0.9889,0.9482,0.923,0.9748,0.9481,0.041
rf,100,2,2,0.985,0.9891,0.9476,0.9183,0.9788,0.948,0.0413
rf,100,2,3,0.9862,0.9897,0.9489,0.923,0.9763,0.9489,0.0403
rf,100,2,4,0.9855,0.9892,0.9483,0.9179,0.9807,0.9488,0.0397
rf,100,3,0,0.9858,0.9898,0.9531,0.9252,0.9827,0.9534,0.0391
rf,100,3,1,0.984,0.9878,0.9428,0.9107,0.9771,0.9433,0.0435
rf,100,3,2,0.9854,0.9893,0.9491,0.9208,0.9792,0.9494,0.0401
rf,100,3,3,0.9861,0.9893,0.952,0.9248,0.9808,0.9522,0.04
rf,100,3,4,0.9831,0.9877,0.949,0.9208,0.9789,0.9492,0.0421
rf,100,4,0,0.9863,0.9902,0.9529,0.9241,0.9835,0.9533,0.0385
rf,100,4,1,0.9854,0.989,0.9501,0.9248,0.9767,0.95,0.0403
rf,100,4,2,0.9856,0.9889,0.9483,0.9223,0.9759,0.9483,0.0409
rf,100,4,3,0.982,0.9871,0.946,0.9154,0.9787,0.9465,0.0444
rf,100,4,4,0.9851,0.989,0.9477,0.9168,0.9807,0.9482,0.041
xgb,100,0,0,0.9852,0.9893,0.9489,0.9252,0.9738,0.9485,0.0416
xgb,100,0,1,0.9871,0.9904,0.9514,0.931,0.9728,0.9508,0.0388
xgb,100,0,2,0.9868,0.9904,0.9496,0.9299,0.9702,0.9488,0.0392
