,dtype,n_missing,pct_missing,n_unique
date_unregistration,float64,22521,69.1,416
imd_band,object,1111,3.41,10
date_registration,float64,45,0.14,332
code_module,object,0,0.0,7
code_presentation,object,0,0.0,4
region,object,0,0.0,13
highest_education,object,0,0.0,5
gender,object,0,0.0,2
id_student,int64,0,0.0,28785
num_of_prev_attempts,int64,0,0.0,7
age_band,object,0,0.0,3
studied_credits,int64,0,0.0,61
disability,object,0,0.0,2
at_risk,int8,0,0.0,2
final_result,object,0,0.0,4
total_clicks,float64,0,0.0,5381
n_days_active,float64,0,0.0,284
max_clicks_single_day,float64,0,0.0,802
clicks_forumng,float64,0,0.0,2088
clicks_oucontent,float64,0,0.0,2685
clicks_resource,float64,0,0.0,390
clicks_homepage,float64,0,0.0,1515
clicks_oucollaborate,float64,0,0.0,141
clicks_quiz,float64,0,0.0,1905
clicks_subpage,float64,0,0.0,944
clicks_url,float64,0,0.0,286
mean_clicks_per_active_day,float64,0,0.0,18430
n_assessments_submitted,int32,0,0.0,15
mean_score_to_date,float64,0,0.0,2667
weighted_score_to_date,float64,0,0.0,9647
not_submitted,int8,0,0.0,2
module_presentation_length,int64,0,0.0,7
days_since_last_activity,float64,0,0.0,289
