model,t_percent,attribute,level,n,at_risk_rate,recall,fpr,precision,f1
xgb,100,gender,F,2846,0.5028,0.9147,0.0304,0.9682,0.9407
xgb,100,gender,M,3643,0.5339,0.9409,0.0283,0.9744,0.9574
xgb,100,disability,N,5884,0.5093,0.9279,0.0277,0.972,0.9495
xgb,100,disability,Y,605,0.6264,0.9446,0.0487,0.9702,0.9572
xgb,100,age_band,0-35,4498,0.5407,0.9342,0.0315,0.9722,0.9528
xgb,100,age_band,35-55,1949,0.4772,0.9183,0.0245,0.9716,0.9442
xgb,100,age_band,55<=,42,0.3333,0.9286,0.0357,0.9286,0.9286
xgb,100,imd_band,0-10%,656,0.6814,0.9172,0.0622,0.9693,0.9425
xgb,100,imd_band,10-20,687,0.6084,0.9402,0.0483,0.968,0.9539
xgb,100,imd_band,20-30%,722,0.5873,0.9599,0.047,0.9667,0.9633
xgb,100,imd_band,30-40%,709,0.4781,0.9381,0.0216,0.9755,0.9564
xgb,100,imd_band,40-50%,594,0.5471,0.9385,0.0372,0.9683,0.9531
xgb,100,imd_band,50-60%,638,0.4922,0.914,0.0216,0.9762,0.9441
xgb,100,imd_band,60-70%,569,0.4798,0.9524,0.027,0.9701,0.9612
xgb,100,imd_band,70-80%,596,0.4748,0.9011,0.016,0.9808,0.9392
xgb,100,imd_band,80-90%,585,0.4581,0.9254,0.0158,0.9802,0.952
xgb,100,imd_band,90-100%,490,0.4082,0.9,0.0172,0.973,0.9351
xgb,100,imd_band,Missing,243,0.3498,0.8941,0.019,0.962,0.9268
xgb,100,highest_education,A Level or Equivalent,2751,0.4744,0.9264,0.027,0.9688,0.9471
xgb,100,highest_education,HE Qualification,943,0.4189,0.9367,0.0128,0.9814,0.9585
xgb,100,highest_education,Lower Than A Level,2648,0.6031,0.9305,0.0419,0.9712,0.9504
xgb,100,highest_education,No Formal quals,75,0.7467,0.9286,0.0526,0.9811,0.9541
xgb,100,highest_education,Post Graduate Qualification,72,0.3194,0.9565,0.0,1.0,0.9778
xgb,100,region,East Anglian Region,686,0.5029,0.9217,0.0264,0.9725,0.9464
xgb,100,region,East Midlands Region,456,0.511,0.9185,0.0269,0.9727,0.9448
xgb,100,region,Ireland,260,0.4654,0.9091,0.036,0.9565,0.9322
xgb,100,region,London Region,629,0.5644,0.9268,0.0292,0.9763,0.9509
xgb,100,region,North Region,372,0.4946,0.9239,0.0106,0.9884,0.9551
xgb,100,region,North Western Region,591,0.5838,0.9275,0.0407,0.9697,0.9481
xgb,100,region,Scotland,671,0.5052,0.9292,0.0181,0.9813,0.9545
xgb,100,region,South East Region,419,0.4821,0.9455,0.0184,0.9795,0.9622
xgb,100,region,South Region,616,0.4805,0.9257,0.025,0.9716,0.9481
xgb,100,region,South West Region,481,0.4844,0.9356,0.0242,0.9732,0.954
xgb,100,region,Wales,427,0.5667,0.9421,0.0432,0.9661,0.954
xgb,100,region,West Midlands Region,505,0.5564,0.9502,0.0491,0.9604,0.9553
xgb,100,region,Yorkshire Region,376,0.5319,0.925,0.0455,0.9585,0.9415
