model,strategy,roc_auc,pr_auc,f1,recall,precision,balanced_acc,brier
ann,ADASYN,0.9865,0.9896,0.9461,0.9254,0.9678,0.946,0.0402
ann,SMOTE,0.9868,0.9897,0.9477,0.9259,0.9705,0.9477,0.0404
ann,none,0.9865,0.9895,0.9458,0.92,0.9731,0.9462,0.0409
lgbm,ADASYN,0.9892,0.9916,0.9512,0.9259,0.9778,0.9516,0.0365
lgbm,SMOTE,0.9889,0.9913,0.9511,0.9295,0.9736,0.9511,0.0368
lgbm,class_weight,0.9882,0.9909,0.9521,0.9274,0.9781,0.9525,0.0374
lgbm,none,0.9886,0.9911,0.9515,0.9301,0.9739,0.9516,0.0373
logreg,ADASYN,0.9853,0.9888,0.9447,0.9108,0.9812,0.9459,0.0419
logreg,SMOTE,0.9857,0.989,0.9464,0.9171,0.9776,0.9471,0.0414
logreg,class_weight,0.9857,0.989,0.9455,0.9153,0.9778,0.9464,0.0415
logreg,none,0.9858,0.9891,0.946,0.9177,0.9761,0.9466,0.0413
rf,ADASYN,0.9865,0.9894,0.9473,0.9153,0.9816,0.9483,0.0404
rf,SMOTE,0.9868,0.9896,0.9466,0.9165,0.9788,0.9475,0.0405
rf,class_weight,0.9862,0.9893,0.9465,0.9171,0.9779,0.9473,0.0406
rf,none,0.9865,0.9894,0.9485,0.9221,0.9765,0.949,0.0406
xgb,ADASYN,0.9872,0.9903,0.9486,0.9292,0.9688,0.9484,0.0386
xgb,SMOTE,0.9872,0.9902,0.9503,0.9298,0.9718,0.9503,0.0391
xgb,class_weight,0.9877,0.9905,0.9499,0.9295,0.9712,0.9498,0.0388
xgb,none,0.9873,0.9903,0.9508,0.9307,0.9719,0.9507,0.0385
