model,t_percent,roc_auc,pr_auc,f1,recall,precision,balanced_acc,brier
ann,10,0.8385,0.8689,0.7384,0.6736,0.8171,0.755,0.1635
ann,20,0.8773,0.905,0.7963,0.761,0.8352,0.799,0.1396
ann,40,0.9228,0.9433,0.8475,0.7986,0.9029,0.8527,0.1073
ann,60,0.9577,0.9688,0.8936,0.8531,0.9381,0.896,0.0761
ann,80,0.9753,0.9814,0.923,0.8934,0.9547,0.9237,0.0568
ann,100,0.9868,0.9897,0.9477,0.9259,0.9705,0.9477,0.0404
lgbm,10,0.842,0.8716,0.7527,0.7082,0.8032,0.76,0.1604
lgbm,20,0.88,0.9073,0.8001,0.7651,0.8384,0.8026,0.1379
lgbm,40,0.9287,0.9473,0.8543,0.8095,0.9044,0.8584,0.1024
lgbm,60,0.9591,0.9699,0.8975,0.8673,0.9298,0.8982,0.0743
lgbm,80,0.9768,0.9827,0.928,0.899,0.9589,0.9286,0.0539
lgbm,100,0.9889,0.9913,0.9511,0.9295,0.9736,0.9511,0.0368
logreg,10,0.8282,0.8596,0.731,0.662,0.816,0.7501,0.1674
logreg,20,0.8716,0.8987,0.7798,0.7236,0.8453,0.79,0.1437
logreg,40,0.9184,0.9397,0.8431,0.7894,0.9046,0.8496,0.1099
logreg,60,0.9558,0.9672,0.8917,0.8513,0.9362,0.8942,0.0779
logreg,80,0.9745,0.9807,0.9206,0.888,0.9557,0.9217,0.0581
logreg,100,0.9857,0.989,0.9464,0.9171,0.9776,0.9471,0.0414
rf,10,0.8312,0.8611,0.7449,0.6899,0.8095,0.7569,0.1653
rf,20,0.8733,0.8999,0.7873,0.745,0.8347,0.7925,0.1421
rf,40,0.9239,0.9431,0.8497,0.8012,0.9044,0.8547,0.1056
rf,60,0.9578,0.9685,0.8961,0.8611,0.9341,0.8976,0.0754
rf,80,0.9756,0.9816,0.929,0.8978,0.9625,0.93,0.055
rf,100,0.9868,0.9896,0.9466,0.9165,0.9788,0.9475,0.0405
xgb,10,0.8319,0.8644,0.7474,0.7192,0.778,0.7483,0.1671
xgb,20,0.8698,0.8999,0.7903,0.7604,0.8228,0.7914,0.1457
xgb,40,0.9215,0.9428,0.8484,0.8107,0.8898,0.8509,0.1085
xgb,60,0.9568,0.9684,0.8964,0.8703,0.9242,0.8964,0.0776
xgb,80,0.9737,0.9808,0.9236,0.8969,0.9519,0.9239,0.0572
xgb,100,0.9872,0.9902,0.9503,0.9298,0.9718,0.9503,0.0391
