metric,model_a,model_b,mean_a,mean_b,better,wilcoxon_stat,p_raw,p_holm,significant_0.05
recall,ann,lgbm,0.9245,0.9295,lgbm,29.0,0.000327444685131554,0.00131,True
recall,ann,logreg,0.9245,0.918,ann,15.5,7.626202783639936e-05,0.00046,True
recall,ann,rf,0.9245,0.9202,ann,45.5,0.0016385053874673197,0.00492,True
recall,ann,xgb,0.9245,0.9309,xgb,24.5,0.0002044206264106248,0.00102,True
recall,lgbm,logreg,0.9295,0.918,lgbm,0.0,1.2256936021619928e-05,0.00012,True
recall,lgbm,rf,0.9295,0.9202,lgbm,0.0,1.223471913060967e-05,0.00012,True
recall,lgbm,xgb,0.9295,0.9309,xgb,83.0,0.032302286514219486,0.0323,True
recall,logreg,rf,0.918,0.9202,rf,49.5,0.0023512298248575367,0.00492,True
recall,logreg,xgb,0.918,0.9309,xgb,0.0,1.223471913060967e-05,0.00012,True
recall,rf,xgb,0.9202,0.9309,xgb,0.0,1.2245823522183564e-05,0.00012,True
f1,ann,lgbm,0.9463,0.9516,lgbm,0.0,1.2256936021619928e-05,0.00012,True
f1,ann,logreg,0.9463,0.9452,ann,79.5,0.025510925445774914,0.02551,True
f1,ann,rf,0.9463,0.9489,rf,17.5,9.504097628517272e-05,0.00038,True
f1,ann,xgb,0.9463,0.9507,xgb,3.0,1.770383570304977e-05,0.00012,True
f1,lgbm,logreg,0.9516,0.9452,lgbm,0.0,1.2268056633232531e-05,0.00012,True
f1,lgbm,rf,0.9516,0.9489,lgbm,7.0,2.8520161551196606e-05,0.00014,True
f1,lgbm,xgb,0.9516,0.9507,lgbm,69.0,0.011853377898853778,0.02371,True
f1,logreg,rf,0.9452,0.9489,rf,0.0,1.2256936021619928e-05,0.00012,True
f1,logreg,xgb,0.9452,0.9507,xgb,0.0,1.2245823522183564e-05,0.00012,True
f1,rf,xgb,0.9489,0.9507,xgb,19.0,0.00011253585692969375,0.00038,True
pr_auc,ann,lgbm,0.9891,0.9907,lgbm,0.0,1.2102097276471617e-05,0.00012,True
pr_auc,ann,logreg,0.9891,0.9887,ann,71.5,0.014264778422139511,0.04279,True
pr_auc,ann,rf,0.9891,0.9889,ann,82.5,0.030841742067548944,0.06168,False
pr_auc,ann,xgb,0.9891,0.9901,xgb,0.0,1.2113104709718439e-05,0.00012,True
pr_auc,lgbm,logreg,0.9907,0.9887,lgbm,0.0,1.2036221616497781e-05,0.00012,True
pr_auc,lgbm,rf,0.9907,0.9889,lgbm,0.0,1.2091097895121612e-05,0.00012,True
pr_auc,lgbm,xgb,0.9907,0.9901,lgbm,3.5,1.832271197501981e-05,0.00012,True
pr_auc,logreg,rf,0.9887,0.9889,rf,95.0,0.06905996850384107,0.06906,False
pr_auc,logreg,xgb,0.9887,0.9901,xgb,0.0,1.2080106561372081e-05,0.00012,True
pr_auc,rf,xgb,0.9889,0.9901,xgb,0.0,1.220145455994324e-05,0.00012,True
roc_auc,ann,lgbm,0.985,0.9874,lgbm,0.0,1.223471913060967e-05,0.00012,True
roc_auc,ann,logreg,0.985,0.9849,ann,113.0,0.18257858950264683,0.54774,False
roc_auc,ann,rf,0.985,0.985,ann,146.0,0.6568650591397909,1.0,False
roc_auc,ann,xgb,0.985,0.9865,xgb,1.5,1.4591945439758432e-05,0.00012,True
roc_auc,lgbm,logreg,0.9874,0.9849,lgbm,0.0,1.2146175363820999e-05,0.00012,True
roc_auc,lgbm,rf,0.9874,0.985,lgbm,0.0,1.2223622842585624e-05,0.00012,True
roc_auc,lgbm,xgb,0.9874,0.9865,lgbm,1.5,1.4475081542904988e-05,0.00012,True
roc_auc,logreg,rf,0.9849,0.985,rf,146.5,0.6666966878503937,1.0,False
roc_auc,logreg,xgb,0.9849,0.9865,xgb,1.0,1.3786324171011328e-05,0.00012,True
roc_auc,rf,xgb,0.985,0.9865,xgb,0.0,1.2124120199159578e-05,0.00012,True
