,count,mean,std,min,25%,50%,75%,max,median,mode,skew,kurtosis
num_of_prev_attempts,32593.0,0.163,0.48,0.0,0.0,0.0,0.0,6.0,0.0,0.0,3.808,19.432
studied_credits,32593.0,79.759,41.072,30.0,60.0,60.0,120.0,655.0,60.0,60.0,1.876,7.738
date_registration,32548.0,-69.411,49.261,-322.0,-100.0,-57.0,-29.0,167.0,-57.0,-22.0,-1.008,1.002
total_clicks,32593.0,1215.141,1692.604,0.0,142.0,602.0,1585.0,24139.0,602.0,0.0,3.028,14.95
n_days_active,32593.0,55.476,54.515,0.0,11.0,40.0,85.0,286.0,40.0,0.0,1.175,0.946
max_clicks_single_day,32593.0,109.856,142.907,0.0,34.0,74.0,139.0,6988.0,74.0,0.0,10.559,320.178
mean_clicks_per_active_day,32593.0,17.076,12.4,0.0,9.412,15.0,23.158,221.2,15.0,0.0,1.556,7.47
days_since_last_activity,32593.0,97.02,100.631,0.0,11.0,34.0,207.0,292.0,34.0,0.0,0.574,-1.372
clicks_forumng,32593.0,244.635,572.035,0.0,5.0,68.0,254.0,13154.0,68.0,0.0,7.326,83.332
clicks_oucontent,32593.0,343.841,633.447,0.0,4.0,73.0,373.0,9308.0,73.0,0.0,3.504,18.795
clicks_resource,32593.0,34.06,69.826,0.0,5.0,19.0,44.0,5147.0,19.0,0.0,34.71,2125.452
clicks_homepage,32593.0,213.207,311.75,0.0,32.0,120.0,278.0,7277.0,120.0,0.0,5.303,57.726
clicks_oucollaborate,32593.0,3.343,10.433,0.0,0.0,0.0,2.0,316.0,0.0,0.0,7.828,104.013
clicks_quiz,32593.0,214.194,447.555,0.0,0.0,56.0,178.0,13032.0,56.0,0.0,5.832,74.631
clicks_subpage,32593.0,104.672,159.099,0.0,10.0,41.0,135.0,4345.0,41.0,0.0,3.654,32.696
clicks_url,32593.0,17.387,34.732,0.0,0.0,6.0,21.0,2134.0,6.0,0.0,13.102,516.094
mean_score_to_date,32593.0,57.028,33.282,0.0,40.0,70.2,82.25,100.0,70.2,0.0,-0.852,-0.821
weighted_score_to_date,32593.0,48.047,49.307,0.0,0.0,39.5,80.56,200.0,39.5,0.0,0.857,0.03
n_assessments_submitted,32593.0,5.275,4.34,0.0,1.0,5.0,9.0,14.0,5.0,0.0,0.278,-1.287
