feature,none,class_weight,smote,adasyn
num__days_since_last_activity,3.633317,3.6296434,3.5664885,3.5445817
num__weighted_score_to_date,2.2891278,2.168509,2.082718,2.1059275
num__mean_score_to_date,0.69916165,0.6523646,0.6881595,0.65017873
num__n_assessments_submitted,0.40069124,0.3598741,0.37032008,0.3444086
nominal__code_module_DDD,0.36850974,0.33708778,0.35191777,0.37522388
num__clicks_oucontent,0.20063704,0.18106,0.22145498,0.23240522
nominal__code_module_FFF,0.1966296,0.15455037,0.17505346,0.18972355
num__clicks_url,0.19300555,0.18487923,0.14113379,0.2200459
indicator__not_submitted,0.17160498,0.16157232,0.16870427,0.17979103
num__clicks_resource,0.1699088,0.15495163,0.122653686,0.122925036
num__clicks_homepage,0.16556951,0.19763567,0.16490957,0.19685732
num__clicks_subpage,0.15663101,0.19172801,0.16152881,0.16181889
num__num_of_prev_attempts,0.15252247,0.113078885,0.114278205,0.14107665
num__max_clicks_single_day,0.15087,0.12148929,0.12874752,0.09377966
num__n_days_active,0.14757623,0.1607236,0.15303417,0.15402722
num__date_registration,0.13842231,0.09332228,0.11299442,0.10607542
num__clicks_forumng,0.12020576,0.10370829,0.14412099,0.10918547
num__mean_clicks_per_active_day,0.114961915,0.1936445,0.14279006,0.11550733
num__clicks_quiz,0.10866964,0.113051735,0.12207604,0.12040242
num__total_clicks,0.10789233,0.103468046,0.14991528,0.15866908
ordinal__imd_band,0.106989674,0.10009819,0.109678626,0.07437043
nominal__code_module_CCC,0.10118899,0.100018464,0.102839954,0.09601716
ordinal__highest_education,0.09120512,0.093693815,0.104196176,0.09807508
nominal__code_presentation_2014B,0.090680234,0.055914987,0.09067368,0.07053257
ordinal__age_band,0.069876656,0.08271554,0.06908987,0.05956254
num__clicks_oucollaborate,0.067428775,0.06462287,0.051897593,0.054430254
nominal__code_presentation_2013B,0.062381104,0.06494263,0.08488029,0.05561851
nominal__code_module_BBB,0.06111501,0.06363943,0.049389515,0.066360004
num__studied_credits,0.056369156,0.0485838,0.07408683,0.05870953
nominal__code_module_GGG,0.050938822,0.033243857,0.039578386,0.019877043
nominal__code_presentation_2013J,0.04535383,0.036590558,0.039656825,0.046702337
nominal__region_East Anglian Region,0.04437516,0.02788917,0.043309607,0.052403077
binary__gender,0.041125186,0.039272808,0.07057368,0.04585616
nominal__region_Yorkshire Region,0.028198237,0.018467015,0.023989543,0.019468943
nominal__region_South West Region,0.026971344,0.0392637,0.042879492,0.04698337
nominal__region_South Region,0.024457922,0.030346625,0.04705219,0.03262336
nominal__code_presentation_2014J,0.02107131,0.026085146,0.013207588,0.018588634
nominal__region_London Region,0.01929736,0.010073306,0.021856105,0.027468877
nominal__region_South East Region,0.017324576,0.0145915095,0.014909038,0.01909531
nominal__region_North Region,0.01651595,0.016222497,0.020113643,0.007393419
nominal__region_North Western Region,0.016268825,0.025169332,0.025792103,0.022887174
nominal__region_West Midlands Region,0.016204165,0.013552743,0.016842803,0.015475481
nominal__region_Wales,0.014461177,0.017698875,0.01352575,0.018198732
nominal__region_East Midlands Region,0.013642962,0.0079718465,0.004858373,0.013780523
nominal__region_Scotland,0.012472288,0.013027167,0.016074033,0.021756444
binary__disability,0.011775583,0.01405452,0.013261655,0.020783434
nominal__code_module_EEE,0.0070838653,0.00735509,0.0122611085,0.010682516
nominal__region_Ireland,0.0070029274,0.0068453313,0.01170754,0.009233019
nominal__code_module_AAA,0.005000067,0.0049410984,0.005503788,0.005898301
